DR_NO,DATE OCC,Date Rptd,TIME OCC,AREA,AREA NAME,Rpt Dist No,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,LOCATION,LAT,LON,SexualAssault,Age_Group,DATE_OCC_dt,datetime_occurrence,Premise_Category
202013579,08/13/2020 12:00:00 AM,08/18/2020 12:00:00 AM,100,20,Olympic,2014,860,BATTERY WITH SEXUAL CONTACT,49,M,O,501.0,SINGLE FAMILY DWELLING,4000 W  2ND                          ST,34.0712,-118.3016,1,45+,2020-08-13,2020-08-13 01:00:00,Indoor
202100938,11/26/2020 12:00:00 AM,11/26/2020 12:00:00 AM,500,21,Topanga,2138,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,40,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",20400    SHERMAN                      WY,34.2011,-118.5794,1,30-44,2020-11-26,2020-11-26 05:00:00,Indoor
201606018,02/18/2020 12:00:00 AM,02/19/2020 12:00:00 AM,1600,16,Foothill,1638,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,23,F,O,501.0,SINGLE FAMILY DWELLING,10500    TUJUNGA CANYON               BL,34.2596,-118.2927,1,18-29,2020-02-18,2020-02-18 16:00:00,Indoor
201317341,09/21/2020 12:00:00 AM,09/21/2020 12:00:00 AM,1050,13,Newton,1385,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,59,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",6200 S  SAN PEDRO                    ST,33.9824,-118.2696,1,45+,2020-09-21,2020-09-21 10:50:00,Indoor
211907205,02/22/2020 12:00:00 AM,04/01/2021 12:00:00 AM,1,19,Mission,1915,122,"RAPE, ATTEMPTED",17,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",DE GARMO                     AV,34.3009,-118.4442,1,<18,2020-02-22,2020-02-22 00:01:00,Other/Uncategorized
201608889,05/08/2020 12:00:00 AM,05/09/2020 12:00:00 AM,1230,16,Foothill,1645,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,37,M,B,108.0,PARKING LOT,12400    OSBORNE                      ST,34.2626,-118.4094,1,30-44,2020-05-08,2020-05-08 12:30:00,Outdoor
201715250,11/06/2020 12:00:00 AM,11/10/2020 12:00:00 AM,1730,17,Devonshire,1781,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,42,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",20900    GRESHAM                      ST,34.2306,-118.5895,1,30-44,2020-11-06,2020-11-06 17:30:00,Indoor
201900971,12/16/2020 12:00:00 AM,12/16/2020 12:00:00 AM,1820,19,Mission,1991,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,32,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",8100 N  SEPULVEDA                    BL,34.2184,-118.4698,1,30-44,2020-12-16,2020-12-16 18:20:00,Indoor
201822745,12/27/2020 12:00:00 AM,12/27/2020 12:00:00 AM,1930,18,Southeast,1863,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,20,F,H,101.0,STREET,400 E  116TH                        ST,33.9292,-118.2665,1,18-29,2020-12-27,2020-12-27 19:30:00,Outdoor
201421459,12/11/2020 12:00:00 AM,12/11/2020 12:00:00 AM,115,14,Pacific,1452,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,23,F,O,108.0,PARKING LOT,VIA MARINA,33.9662,-118.455,1,18-29,2020-12-11,2020-12-11 01:15:00,Outdoor
